dist,x,y,height,dsm,dtm
514.3619225,243504.8033,80177.67651,37.309097,251.369995,214.055313
515.5443637,243505.4339,80176.67625,35.998451,250.020004,214.01712
516.7268049,243506.0645,80175.67599,34.969223,248.949997,213.972382
517.9092461,243506.6951,80174.67573,33.032028,246.960007,213.931488
519.0916873,243507.3257,80173.67548,33.141872,247.050003,213.895752
520.2741285,243507.9563,80172.67522,27.917854,241.800858,213.914276
521.4565697,243508.5869,80171.67496,22.515194,236.400833,213.897217
522.6390109,243509.2175,80170.6747,20.49449,234.360001,213.863663
523.8214521,243509.8481,80169.67445,23.68722,237.460007,213.834991
525.0038933,243510.4787,80168.67419,24.275351,237.940002,213.699615
526.1863345,243511.1093,80167.67393,24.156586,237.770004,213.591156
527.3687757,243511.7399,80166.67368,25.787525,239.369995,213.573975
528.5512169,243512.3705,80165.67342,23.606596,237.169998,213.568619
529.7336581,243513.0011,80164.67316,20.549845,234.210007,213.699524
530.9160993,243513.6317,80163.6729,21.109293,234.720001,213.621078
532.0985405,243514.2623,80162.67265,21.558609,235.130005,213.56752
533.2809817,243514.8929,80161.67239,21.858059,235.360001,213.502167
534.4634229,243515.5235,80160.67213,21.61573,235.039993,213.427383
535.6458641,243516.1541,80159.67187,18.87665,232.270004,213.392838
536.8283053,243516.7847,80158.67162,18.991602,232.309998,213.308426
538.0107465,243517.4153,80157.67136,19.280334,232.509995,213.181183
539.1931877,243518.0459,80156.6711,17.657873,230.809998,213.172882
540.3756289,243518.6764,80155.67085,17.615482,230.809998,213.183685
541.5580701,243519.307,80154.67059,19.554646,232.789993,213.229889
542.7405113,243519.9376,80153.67033,18.519621,231.779999,213.252213
543.9229525,243520.5682,80152.67007,22.507843,235.779999,213.275436
545.1053937,243521.1988,80151.66982,20.449492,233.699997,213.25415
546.2878349,243521.8294,80150.66956,21.974485,235.210007,213.244324
547.4702761,243522.46,80149.6693,22.266998,235.570007,213.270233
548.6527173,243523.0906,80148.66904,21.577484,234.990005,213.379623
549.8351585,243523.7212,80147.66879,17.408215,230.863037,213.465012
551.0175997,243524.3518,80146.66853,14.011269,227.539993,213.521606
552.2000409,243524.9824,80145.66827,14.882948,228.440002,213.550522
553.3824821,243525.613,80144.66802,17.20093,230.759995,213.562943
554.5649233,243526.2436,80143.66776,16.282526,229.839996,213.561157
555.7473645,243526.8742,80142.6675,16.166765,229.720001,213.555298
556.9298057,243527.5048,80141.66724,28.711571,242.300003,213.533463
558.1122469,243528.1354,80140.66699,30.098719,243.710007,213.628876
559.2946881,243528.766,80139.66673,32.006714,245.619995,213.612717
560.4771293,243529.3966,80138.66647,35.675713,249.380005,213.687012
561.6595705,243530.0272,80137.66621,37.373203,251.100006,213.74147
562.8420117,243530.6578,80136.66596,37.616291,251.419998,213.791504
564.0244529,243531.2884,80135.6657,38.402748,252.169998,213.782166
